S no,Name,team,Type,identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2
68,Virat Kohli ,RCB,1,ba607b88,V Kohli,V Kohli,0,0,0,0,0,0,253802,0,0,0,101095,0,0,0,0,0,0,164,0
69,Devdutt Padikkal ,RCB,1,2c25d4f5,D Padikkal,D Padikkal,iGeJOCJAQLeihUiJIXzi1bJ0VIiKcOy,0,0,0,0,0,1119026,0,0,0,1728164,0,0,0,0,0,0,5430,0
70,Phil Salt ,RCB,1,3d284ca3,PD Salt,PD Salt,0,0,8012,0,0,0,669365,0,0,18690,1104883,0,0,00ec5aca-d922-421b-a5d1-f8e70e69b7b4,0,0,0,3511,0
71,Jitesh Sharma ,RCB,1,800d2d97,JM Sharma,JM Sharma,XGiIhViyKiIAOLJU0OCe1ecJJQzJibi,0,0,0,0,0,721867,0,0,0,0,0,0,0,0,0,0,0,0
72,Krunal Pandya ,RCB,3,5b8c830e,KH Pandya,KH Pandya,UicQOhOJ1XACJeGKyeVJbiLIiJiiIz0,0,0,0,0,0,471342,0,0,0,254356,0,0,0,0,0,0,3183,0
73,Swapnil Singh ,RCB,2,983f2f61,Swapnil Singh,Swapnil Singh,O0UicGJiiCAVKJhbLiiJyXJIeeQ1zOI,0,0,0,0,0,232292,0,0,0,0,0,0,0,0,0,0,3180,0
74,Tim David ,RCB,1,f1f99156,TH David,TH David,0,0,11463,0,0,0,892749,0,0,0,1659559,0,0,0,0,0,0,0,0
75,Romario Shepherd ,RCB,3,c5aef772,R Shepherd,R Shepherd,0,0,0,0,0,0,677077,0,0,0,1973715,0,0,0,0,0,0,5036,0
76,Jacob Bethell ,RCB,3,3c55c703,JG Bethell,JG Bethell,0,0,0,0,0,0,1194959,0,0,0,0,0,0,f3eb7098-753f-4f4a-a254-732fff6c3735,0,0,0,0,0
78,Bhuvneshwar Kumar ,RCB,2,2e81a32d,B Kumar,B Kumar,yJUcXziCJOGLbJeViK1IiihIQOJie0A,0,0,0,0,0,326016,0,0,0,243427,0,0,0,0,0,0,116,0
79,Nuwan Thushara ,RCB,2,ee1b6c27,N Thushara,N Thushara,0,0,0,0,0,0,955235,0,0,0,0,0,0,0,0,0,0,0,0
80,Rasikh Salam ,RCB,2,b8527c3d,Rasikh Salam,Rasikh Salam,2018d1909e70bbd611e8a30e02726df,0,0,0,0,0,1161489,0,0,0,0,0,0,0,0,0,0,5437,0
81,Abhinandan Singh ,RCB,2,82c10dac,Abhinandan Singh,Abhinandan Singh,0,0,0,0,0,0,1449085,0,0,0,0,0,0,0,0,0,0,0,0
82,Suyash Sharma ,RCB,2,9440ef41,Suyash Sharma,Suyash Sharma,0,0,0,0,0,0,1350792,0,0,0,0,0,0,0,0,0,0,0,0
83,Venkatesh Iyer ,RCB,3,a24be938,VR Iyer,VR Iyer,eic0LJzOOIe1IQAiXJCiUGibJyiVhKJ,0,0,0,0,0,851403,0,0,0,0,0,0,0,0,0,0,0,0
84,Jacob Duffy ,RCB,2,dadbdb68,JA Duffy,JA Duffy,0,0,0,0,0,0,547766,0,0,0,1065202,0,0,476e05d8-72d5-4377-a87d-ab20b59d4e68,31f15afe-9f5c-4d10-8161-5ca2b578bd43,0,0,1282,0
85,Josh Hazlewood ,RCB,2,03806cf8,JR Hazlewood,JR Hazlewood,0,0,4818,0,0,0,288284,0,0,0,158701,0,0,0,0,0,0,857,0
